id,work_package_name
1,Phase-3-reporting
2,NewFeatures-HUI
3,PowerBI&Pictures
4,Technical-support
5,PM-tasks
6,Project-Review
7,General
8,Development
9,Modelling
10,PLG-pile-plotting-tool
11,DeepCWind-Demo-Model
12,Modelling
13,Model-assessments
14,3D-Shell-Joints
15,Modeling
16,convert-collection-to-HUI
17,Mooring-System
18,Riser-Porches
19,Pedestal-Cranes
20,HUI-Collection
21,Pushover-validations
22,REPSOL
23,GE-Wind
24,General-Task
25,Modeling
26,FullScaleModel
27,Update-TetraSpar
28,Project-Support
29,Reactor-Reporting
30,Creep-Damage-ML-Model
31,General
32,Management
33,Backend-Data-Streming-for-PowerBI
34,Freshdesk/Trac-tickets
35,Support
36,Demo-Models-Creating
37,BudgingTest
38,E-learning
39,Demo
40,HUI
41,Update-model
42,development
43,Technical-Support
44,workFLOWT-User-Guide
45,RBI-level-1-in-HUI
46,Pigtail-Model
47,Applet-report
48,Static-Deterministic-Fatigue-UI
49,Update
50,Modeling
51,User-Manual
52,Material
53,Strength-check
54,development
55,Run-Strength-Check
56,Update-Morison-Drag-Model-Fatigue
57,Train-Fatigue-Model
58,Load-Validation-Fatigue-Model
59,Morison-Drag-Validation-Heave-Strength-Model
60,development
61,Umaine-5MW-recontruction
62,Run-Fatigue-Check
63,Training-and-Run-Fatigue-Model
64,CAD-Digitization
65,Modeling
66,UpdateMaxStress
67,RBI-level-2
68,SACS
69,Update-Hexicon-Process-on-Notion
70,Design-Layout-Dashboard-PowerBI
71,TQreview
72,Create-test-model-for-hybrid-train-bug
73,Plugin-port
74,Static-Deterministic-Fatigue-UI
75,CokerDrumDashboard
76,Generate-video-for-Reactor-Scotford-Dashboard
77,Freshdesk/Trac-tickets
78,Planning
79,Planning
80,Joint
81,Run-Fatigue-Assessment-on-Applet
82,Imbalance-Force-Test-Acceleration
83,Boundary-Stored-Selection-Handler(7273)
84,Presentation-Preparation
85,Run-Strength-Assessment-on-Applet
86,General
87,Deploy-Dashboard-with-prepared-data
88,General
89,Testing
90,Demo-Model-SMR
91,Testing
92,Test-strength-check-for-group-solution
93,Testing-model-for-force-balancing
94,Testing
95,SOW-and
96,Support
97,HUI-development
98,CAD-process
99,RunMaxStress2Drums
100,Track-Ticket#7657
101,Deploy-Strength-Check-Applet
102,Investigate-Force-Imbalance
103,Test-Envelop-Solution-Feature
104,CAD-QA
105,MachineLearning
106,Writing-Hexicon-report
107,Testing
108,Force-Imbalance-Investigation-Report-Writing
109,Complete-Coke-Drum-Demo-Dashboard
110,Fix-Member-CodeCheck-Bug-Following-Ticket#7657
111,Final-Report-Writting
112,Re-run-Strength-Fatigue-Checks-4-new-data
113,Load-validation
114,Close-out-report
115,VideoReactorDemo
116,Material
117,Training
118,Test
119,SACS-Converter
120,Workflow-update-on-Notion
121,VideoOcarFlex
122,Development
123,Writing-script-to-compute-turbine-energy-production
124,Support
125,Miscellaneous-tasks-in-strength-applet
126,VideoCokeDashboard
127,Feature-implementation
128,GeneralTasks
129,Preparing-Materials
130,Material
131,Verification-Results
132,Writing-report
133,Building-Buildbot-and
134,Training
135,CodeCheckVideo
136,Buildbot-for-WAMIT-and-Loads
137,TQ001-&-CAD-model
138,Running-Buckling-for-DeepCWind-demo-model
139,Editpictures
140,Digital-Twin
141,DT-based-modeling
142,Feature-documentation
143,Preparing-Materials
144,Wind-Training
145,Buildbot-for-rad-diff-coeffs-generation
146,Floating-wind-theory-report
147,Load-mapping-buildbot
148,ReactorDashboard
149,Collection
150,TQ002-&-CAD-Model
151,Feature-implementation
152,StrengthCheck-buildbot-creation
153,Docker